food_name,nutrition_name,price_per_100g,source_price,source_nutrition,date,energy_kcal,protein_g,fat_g,fiber_g,carbohydrate_g,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copper_mg,vitamin_a_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenic_mg,vitamin_c_mg
鶏卵（ＬＬ）,鶏卵　全卵　生,32.0,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
鶏卵（Ｌ）,鶏卵　全卵　生,32.5,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
鶏卵（Ｍ）,鶏卵　全卵　生,34.0,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
鶏卵（ＭＳ）,鶏卵　全卵　生,35.5,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
鶏卵（Ｓ）,鶏卵　全卵　生,33.5,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
鶏卵（ＳＳ）,鶏卵　全卵　生,26.5,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
鶏卵（特高）,鶏卵　全卵　生,34.5,鶏鳴新聞社,文部科学省食品成分表八訂,2025-06-01,142.0,12.2,10.2,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,0.0
いんげん,いんげんまめ　さやいんげん　若ざや　生,104.22,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,23.0,1.8,0.1,2.4,5.1,260.0,50.0,23.0,41.0,0.7,0.3,0.06,49.0,0.0,0.2,60.0,0.06,0.11,0.6,0.07,0.0,50.0,0.17,8.0
えだまめ,えだまめ　生,144.8,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,125.0,11.7,6.2,5.0,8.8,590.0,58.0,62.0,170.0,2.7,1.4,0.41,22.0,0.0,0.8,30.0,0.31,0.15,1.6,0.15,0.0,320.0,0.53,27.0
かぶ,かぶ　根　皮つき　生,11.88,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,18.0,0.7,0.1,1.5,4.6,280.0,24.0,8.0,28.0,0.3,0.1,0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.6,0.08,0.0,48.0,0.25,19.0
