food_group,food_number,food_name,waste_rate,energy_kcal,protein_g,fat_g,fiber_g,carbohydrate_g,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copper_mg,vitamin_a_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenic_mg,vitamin_c_mg,source,per_100g
1,1001,アマランサス　玄穀,0.0,343.0,12.7,6.0,7.4,64.9,600.0,160.0,270.0,540.0,9.4,5.8,0.92,0.0,0.0,1.3,0.0,0.04,0.14,1.0,0.58,0.0,130.0,1.69,0.0,文部科学省食品成分表八訂,True
1,1002,あわ　精白粒,0.0,346.0,11.2,4.4,3.3,69.7,300.0,14.0,110.0,280.0,4.8,2.5,0.49,0.0,0.0,0.6,0.0,0.56,0.07,2.9,0.18,0.0,29.0,1.83,0.0,文部科学省食品成分表八訂,True
1,1003,あわ　あわもち,0.0,210.0,5.1,1.3,1.5,45.3,62.0,5.0,12.0,39.0,0.7,1.1,0.2,0.0,0.0,0.1,0.0,0.08,0.01,0.3,0.03,0.0,7.0,0.61,0.0,文部科学省食品成分表八訂,True
1,1004,えんばく　オートミール,0.0,350.0,13.7,5.7,9.4,69.1,260.0,47.0,100.0,370.0,3.9,2.1,0.28,0.0,0.0,0.6,0.0,0.2,0.08,1.1,0.11,0.0,30.0,1.29,0.0,文部科学省食品成分表八訂,True
1,1005,おおむぎ　七分つき押麦,0.0,343.0,10.9,2.1,10.3,72.1,220.0,23.0,46.0,180.0,1.3,1.4,0.32,0.0,0.0,0.2,0.0,0.22,0.07,3.2,0.14,0.0,17.0,0.43,0.0,文部科学省食品成分表八訂,True
1,1006,おおむぎ　押麦　乾,0.0,329.0,6.7,1.5,12.2,78.3,210.0,21.0,40.0,160.0,1.1,1.1,0.22,0.0,0.0,0.1,0.0,0.11,0.03,3.4,0.13,0.0,10.0,0.4,0.0,文部科学省食品成分表八訂,True
1,1170,おおむぎ　押麦　めし,0.0,118.0,2.2,0.5,4.2,28.5,38.0,6.0,10.0,46.0,0.4,0.4,0.08,0.0,0.0,0.0,0.0,0.02,0.0,0.8,0.03,0.0,3.0,0.13,0.0,文部科学省食品成分表八訂,True
1,1007,おおむぎ　米粒麦,0.0,333.0,7.0,2.1,8.7,76.2,170.0,17.0,25.0,140.0,1.2,1.2,0.37,0.0,0.0,0.1,0.0,0.19,0.05,2.3,0.19,0.0,10.0,0.64,0.0,文部科学省食品成分表八訂,True
1,1008,おおむぎ　大麦めん　乾,0.0,343.0,12.9,1.7,6.3,68.0,240.0,27.0,63.0,200.0,2.1,1.5,0.33,0.0,0.0,0.0,0.0,0.21,0.04,3.5,0.09,0.0,19.0,0.64,0.0,文部科学省食品成分表八訂,True
1,1009,おおむぎ　大麦めん　ゆで,0.0,121.0,4.8,0.6,2.5,24.3,10.0,12.0,18.0,61.0,0.9,0.6,0.13,0.0,0.0,0.0,0.0,0.04,0.01,1.0,0.01,0.0,5.0,0.26,0.0,文部科学省食品成分表八訂,True
1,1010,おおむぎ　麦こがし,0.0,368.0,12.5,5.0,15.5,77.1,490.0,43.0,130.0,340.0,3.1,3.8,0.41,0.0,0.0,0.5,0.0,0.09,0.1,7.6,0.09,0.0,24.0,0.28,0.0,文部科学省食品成分表八訂,True
1,1167,キヌア　玄穀,0.0,344.0,13.4,3.2,6.2,69.0,580.0,46.0,180.0,410.0,4.3,2.8,0.47,1.0,0.0,2.6,0.0,0.45,0.24,1.2,0.39,0.0,190.0,0.95,0.0,文部科学省食品成分表八訂,True
1,1011,きび　精白粒,0.0,353.0,11.3,3.3,1.6,70.9,200.0,9.0,84.0,160.0,2.1,2.7,0.38,0.0,0.0,0.0,0.0,0.34,0.09,3.7,0.2,0.0,13.0,0.95,0.0,文部科学省食品成分表八訂,True
1,1012,こむぎ　［玄穀］　国産　普通,0.0,329.0,10.8,3.1,14.0,72.1,440.0,26.0,82.0,350.0,3.2,2.6,0.38,0.0,0.0,1.2,0.0,0.41,0.09,6.3,0.35,0.0,38.0,1.03,0.0,文部科学省食品成分表八訂,True
1,1013,こむぎ　［玄穀］　輸入　軟質,0.0,344.0,10.1,3.3,11.2,75.2,390.0,36.0,110.0,290.0,2.9,1.7,0.32,0.0,0.0,1.2,0.0,0.49,0.09,5.0,0.34,0.0,40.0,1.07,0.0,文部科学省食品成分表八訂,True
1,1014,こむぎ　［玄穀］　輸入　硬質,0.0,332.0,13.0,3.0,11.4,69.4,340.0,26.0,140.0,320.0,3.2,3.1,0.43,0.0,0.0,1.2,0.0,0.35,0.09,5.8,0.34,0.0,49.0,1.29,0.0,文部科学省食品成分表八訂,True
1,1015,こむぎ　［小麦粉］　薄力粉　1等,0.0,349.0,8.3,1.5,2.5,75.8,110.0,20.0,12.0,60.0,0.5,0.3,0.08,0.0,0.0,0.3,0.0,0.11,0.03,0.6,0.03,0.0,9.0,0.53,0.0,文部科学省食品成分表八訂,True
1,1016,こむぎ　［小麦粉］　薄力粉　2等,0.0,345.0,9.3,1.9,2.6,74.3,130.0,23.0,30.0,77.0,0.9,0.7,0.18,0.0,0.0,1.0,0.0,0.21,0.04,1.0,0.09,0.0,14.0,0.62,0.0,文部科学省食品成分表八訂,True
1,1018,こむぎ　［小麦粉］　中力粉　1等,0.0,337.0,9.0,1.6,2.8,75.1,100.0,17.0,18.0,64.0,0.5,0.5,0.11,0.0,0.0,0.3,0.0,0.1,0.03,0.6,0.05,0.0,8.0,0.47,0.0,文部科学省食品成分表八訂,True
1,1019,こむぎ　［小麦粉］　中力粉　2等,0.0,346.0,9.7,1.8,2.1,74.0,110.0,24.0,26.0,80.0,1.1,0.6,0.14,0.0,0.0,0.8,0.0,0.22,0.04,1.2,0.07,0.0,12.0,0.66,0.0,文部科学省食品成分表八訂,True
1,1020,こむぎ　［小麦粉］　強力粉　1等,0.0,337.0,11.8,1.5,2.7,71.7,89.0,17.0,23.0,64.0,0.9,0.8,0.15,0.0,0.0,0.3,0.0,0.09,0.04,0.8,0.06,0.0,16.0,0.77,0.0,文部科学省食品成分表八訂,True
1,1021,こむぎ　［小麦粉］　強力粉　2等,0.0,343.0,12.6,1.7,2.1,70.6,86.0,21.0,36.0,86.0,1.0,1.0,0.19,0.0,0.0,0.5,0.0,0.13,0.04,1.1,0.08,0.0,18.0,0.93,0.0,文部科学省食品成分表八訂,True
1,1023,こむぎ　［小麦粉］　強力粉　全粒粉,0.0,320.0,12.8,2.9,11.2,68.2,330.0,26.0,140.0,310.0,3.1,3.0,0.42,0.0,0.0,1.0,0.0,0.34,0.09,5.7,0.33,0.0,48.0,1.27,0.0,文部科学省食品成分表八訂,True
1,1146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,0.0,335.0,10.1,1.9,2.8,73.6,210.0,64.0,31.0,320.0,1.0,0.7,0.13,1.0,0.1,0.6,1.0,0.21,0.03,1.5,0.07,0.1,17.0,0.41,0.0,文部科学省食品成分表八訂,True
1,1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,0.0,360.0,7.8,4.0,1.8,74.4,230.0,100.0,12.0,170.0,0.5,0.3,0.07,9.0,0.1,0.5,1.0,0.1,0.08,0.5,0.04,0.1,10.0,0.48,0.0,文部科学省食品成分表八訂,True
1,1147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,0.0,311.0,10.2,1.2,2.6,70.0,280.0,110.0,39.0,130.0,1.2,0.7,0.1,5.0,0.0,0.3,2.0,0.15,0.07,1.3,0.12,0.0,26.0,0.33,0.0,文部科学省食品成分表八訂,True
1,1025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,0.0,337.0,8.8,1.3,2.5,76.1,160.0,140.0,19.0,120.0,0.6,0.5,0.12,1.0,0.0,0.3,0.0,0.12,0.99,0.9,0.06,0.0,12.0,0.35,0.0,文部科学省食品成分表八訂,True
1,1171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,0.0,132.0,3.3,0.5,1.9,30.2,67.0,84.0,6.0,51.0,0.2,0.1,0.04,3.0,0.0,0.1,0.0,0.04,0.16,0.4,0.02,0.0,3.0,0.19,0.0,文部科学省食品成分表八訂,True
1,1172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,0.0,588.0,4.3,47.7,3.3,37.0,93.0,100.0,8.0,63.0,0.3,0.1,0.04,0.0,,7.6,81.0,0.05,0.14,0.5,0.03,0.0,4.0,0.21,0.0,文部科学省食品成分表八訂,True
1,1026,こむぎ　［パン類］　角形食パン　食パン,0.0,248.0,8.9,4.1,4.2,46.4,86.0,22.0,18.0,67.0,0.5,0.5,0.09,0.0,0.0,0.4,0.0,0.07,0.05,1.1,0.03,0.0,30.0,0.42,0.0,文部科学省食品成分表八訂,True
1,1174,こむぎ　［パン類］　角形食パン　焼き,0.0,269.0,9.7,4.5,4.6,50.6,93.0,26.0,20.0,77.0,0.5,0.6,0.1,,,0.4,,0.07,0.05,1.2,0.03,,30.0,0.45,0.0,文部科学省食品成分表八訂,True
1,1175,こむぎ　［パン類］　角形食パン　耳を除いたもの,45.0,226.0,8.2,3.7,3.8,42.6,78.0,20.0,16.0,61.0,0.4,0.4,0.08,0.0,,0.3,,0.06,0.05,1.1,0.04,,17.0,0.3,0.0,文部科学省食品成分表八訂,True
1,1176,こむぎ　［パン類］　角形食パン　耳,55.0,273.0,9.7,4.5,4.7,50.8,92.0,23.0,18.0,73.0,0.5,0.6,0.1,1.0,,0.4,,0.06,0.06,1.1,0.05,,27.0,0.37,0.0,文部科学省食品成分表八訂,True
1,1206,こむぎ　［パン類］　食パン　リーンタイプ,0.0,246.0,8.0,3.7,2.0,47.5,67.0,12.0,16.0,46.0,0.6,0.6,0.1,0.0,0.3,0.4,0.0,0.1,0.05,0.6,0.04,0.0,28.0,0.54,0.0,文部科学省食品成分表八訂,True
1,1207,こむぎ　［パン類］　食パン　リッチタイプ,0.0,256.0,7.8,6.0,1.7,45.6,88.0,25.0,15.0,62.0,0.6,0.7,0.09,55.0,0.3,0.3,2.0,0.09,0.09,0.8,0.05,0.1,42.0,0.58,0.0,文部科学省食品成分表八訂,True
1,1205,こむぎ　［パン類］　山形食パン　食パン,0.0,246.0,7.8,3.5,1.8,47.9,76.0,18.0,16.0,51.0,0.6,0.6,0.1,0.0,0.0,0.4,0.0,0.08,0.06,0.8,0.05,0.0,34.0,0.54,0.0,文部科学省食品成分表八訂,True
1,1028,こむぎ　［パン類］　コッペパン,0.0,273.0,9.2,3.8,3.9,54.7,91.0,22.0,22.0,74.0,0.5,0.7,0.11,1.0,0.0,0.6,2.0,0.08,0.07,1.2,0.05,0.1,36.0,0.47,0.0,文部科学省食品成分表八訂,True
1,1213,こむぎ　［パン類］　バンズ,0.0,274.0,10.4,4.8,4.2,50.6,97.0,29.0,21.0,85.0,0.6,0.7,0.11,0.0,,0.7,,0.11,0.06,1.6,0.05,,27.0,0.43,,文部科学省食品成分表八訂,True
1,1030,こむぎ　［パン類］　乾パン,0.0,386.0,9.5,4.4,3.1,78.8,160.0,30.0,27.0,95.0,1.2,0.6,0.18,0.0,0.0,1.1,0.0,0.14,0.06,0.9,0.06,0.0,20.0,0.41,0.0,文部科学省食品成分表八訂,True
1,1031,こむぎ　［パン類］　フランスパン,0.0,289.0,9.4,1.3,2.7,57.5,110.0,16.0,22.0,72.0,0.9,0.8,0.14,0.0,0.0,0.1,0.0,0.08,0.05,1.1,0.04,0.0,33.0,0.45,0.0,文部科学省食品成分表八訂,True
1,1032,こむぎ　［パン類］　ライ麦パン,0.0,252.0,8.4,2.2,5.6,52.7,190.0,16.0,40.0,130.0,1.4,1.3,0.18,0.0,0.0,0.3,0.0,0.16,0.06,1.3,0.09,0.0,34.0,0.46,0.0,文部科学省食品成分表八訂,True
1,1208,こむぎ　［パン類］　全粒粉パン,0.0,251.0,7.9,5.7,4.5,45.5,140.0,14.0,51.0,120.0,1.3,0.4,0.18,0.0,0.0,0.8,0.0,0.17,0.07,2.4,0.13,0.0,49.0,0.67,0.0,文部科学省食品成分表八訂,True
1,1033,こむぎ　［パン類］　ぶどうパン,0.0,263.0,8.2,3.5,2.2,51.1,210.0,32.0,23.0,86.0,0.9,0.6,0.15,0.0,0.0,0.4,0.0,0.11,0.05,1.2,0.07,0.0,33.0,0.42,0.0,文部科学省食品成分表八訂,True
1,1034,こむぎ　［パン類］　ロールパン,0.0,309.0,10.1,9.0,2.0,48.6,110.0,44.0,22.0,97.0,0.7,0.8,0.12,1.0,0.1,0.5,0.0,0.1,0.06,1.3,0.03,0.0,38.0,0.61,0.0,文部科学省食品成分表八訂,True
1,1209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,0.0,406.0,6.5,20.4,1.9,51.5,110.0,27.0,14.0,65.0,0.4,0.5,0.08,37.0,1.4,2.6,7.0,0.11,0.09,0.9,0.05,0.1,46.0,0.42,0.0,文部科学省食品成分表八訂,True
1,1035,こむぎ　［パン類］　クロワッサン　リッチタイプ,0.0,438.0,7.9,26.8,1.8,43.9,90.0,21.0,17.0,67.0,0.6,0.6,0.1,6.0,0.1,1.9,0.0,0.08,0.03,1.0,0.03,0.0,33.0,0.44,0.0,文部科学省食品成分表八訂,True
1,1210,こむぎ　［パン類］　くるみパン,0.0,292.0,8.2,12.6,2.4,38.7,150.0,35.0,33.0,88.0,0.8,0.9,0.23,16.0,0.1,0.4,2.0,0.11,0.09,0.8,0.11,0.0,45.0,0.55,0.0,文部科学省食品成分表八訂,True
1,1036,こむぎ　［パン類］　イングリッシュマフィン,0.0,224.0,8.1,3.6,1.2,40.8,84.0,53.0,19.0,96.0,0.9,0.8,0.12,0.0,0.0,0.3,0.0,0.15,0.08,1.2,0.05,0.0,23.0,0.32,0.0,文部科学省食品成分表八訂,True
1,1037,こむぎ　［パン類］　ナン,0.0,257.0,10.3,3.4,2.0,47.6,97.0,11.0,22.0,77.0,0.8,0.7,0.11,0.0,0.0,0.6,0.0,0.13,0.06,1.3,0.05,0.0,36.0,0.55,0.0,文部科学省食品成分表八訂,True
1,1148,こむぎ　［パン類］　ベーグル,0.0,270.0,9.6,2.0,2.5,54.6,97.0,24.0,24.0,81.0,1.3,0.7,0.11,,,0.2,,0.19,0.08,2.0,0.06,,47.0,0.28,,文部科学省食品成分表八訂,True
1,1038,こむぎ　［うどん・そうめん類］　うどん　生,0.0,249.0,6.1,0.6,3.6,56.8,90.0,18.0,13.0,49.0,0.3,0.3,0.08,0.0,0.0,0.2,,0.09,0.03,0.6,0.03,0.0,5.0,0.36,0.0,文部科学省食品成分表八訂,True
1,1039,こむぎ　［うどん・そうめん類］　うどん　ゆで,0.0,95.0,2.6,0.4,1.3,21.6,9.0,6.0,6.0,18.0,0.2,0.1,0.04,0.0,0.0,0.1,,0.02,0.01,0.2,0.01,0.0,2.0,0.13,0.0,文部科学省食品成分表八訂,True
1,1186,こむぎ　［うどん・そうめん類］　うどん　半生うどん,0.0,296.0,7.8,3.4,4.1,62.5,98.0,22.0,15.0,64.0,0.6,0.3,0.09,0.0,0.0,0.2,,0.1,0.03,0.7,0.03,0.0,6.0,0.41,0.0,文部科学省食品成分表八訂,True
