food_name,price_per_100g,unit,source,date
いんげん,104.22,円/100g,東京都中央卸売市場,2025-06-01
うめ,91.08,円/100g,東京都中央卸売市場,2025-06-01
えだまめ,144.8,円/100g,東京都中央卸売市場,2025-06-01
かぶ,11.88,円/100g,東京都中央卸売市場,2025-06-01
かぼちゃ,22.3,円/100g,東京都中央卸売市場,2025-06-01
きゅうり,33.7,円/100g,東京都中央卸売市場,2025-06-01
こまつな,29.75,円/100g,東京都中央卸売市場,2025-06-01
じゃがいも,19.33,円/100g,東京都中央卸売市場,2025-06-01
そらまめ,93.6,円/100g,東京都中央卸売市場,2025-06-01
たまねぎ,17.28,円/100g,東京都中央卸売市場,2025-06-01
だいこん,12.78,円/100g,東京都中央卸売市場,2025-06-01
とうもろこし,42.48,円/100g,東京都中央卸売市場,2025-06-01
なす,46.62,円/100g,東京都中央卸売市場,2025-06-01
にんじん,17.49,円/100g,東京都中央卸売市場,2025-06-01
ねぎ,41.69,円/100g,東京都中央卸売市場,2025-06-01
はくさい,7.05,円/100g,東京都中央卸売市場,2025-06-01
ほうれんそう,56.5,円/100g,東京都中央卸売市場,2025-06-01
キャベツ,6.26,円/100g,東京都中央卸売市場,2025-06-01
スナップ実えんどう,115.55,円/100g,東京都中央卸売市場,2025-06-01
トマト,34.02,円/100g,東京都中央卸売市場,2025-06-01
ピーマン,52.0,円/100g,東京都中央卸売市場,2025-06-01
ブロッコリー,62.1,円/100g,東京都中央卸売市場,2025-06-01
ミニトマト,38.87,円/100g,東京都中央卸売市場,2025-06-01
レタス,10.53,円/100g,東京都中央卸売市場,2025-06-01
