food_name,price_per_100g,unit,category,source,date
牛肉（もも）,280,円/100g,牛肉,総務省小売物価統計（参考価格）,2025-06-01
牛肉（ばら）,250,円/100g,牛肉,総務省小売物価統計（参考価格）,2025-06-01
牛肉（ロース）,400,円/100g,牛肉,総務省小売物価統計（参考価格）,2025-06-01
牛肉（ひき肉）,150,円/100g,牛肉,総務省小売物価統計（参考価格）,2025-06-01
豚肉（もも）,140,円/100g,豚肉,総務省小売物価統計（参考価格）,2025-06-01
豚肉（ばら）,160,円/100g,豚肉,総務省小売物価統計（参考価格）,2025-06-01
豚肉（ロース）,180,円/100g,豚肉,総務省小売物価統計（参考価格）,2025-06-01
豚肉（ひき肉）,100,円/100g,豚肉,総務省小売物価統計（参考価格）,2025-06-01
鶏肉（もも）,110,円/100g,鶏肉,総務省小売物価統計（参考価格）,2025-06-01
鶏肉（むね）,70,円/100g,鶏肉,総務省小売物価統計（参考価格）,2025-06-01
鶏肉（ささみ）,120,円/100g,鶏肉,総務省小売物価統計（参考価格）,2025-06-01
鶏肉（手羽）,90,円/100g,鶏肉,総務省小売物価統計（参考価格）,2025-06-01
鶏肉（ひき肉）,80,円/100g,鶏肉,総務省小売物価統計（参考価格）,2025-06-01
ハム（ロース）,200,円/100g,加工肉,総務省小売物価統計（参考価格）,2025-06-01
ベーコン,180,円/100g,加工肉,総務省小売物価統計（参考価格）,2025-06-01
ソーセージ,150,円/100g,加工肉,総務省小売物価統計（参考価格）,2025-06-01
